Date,SOROS FUND MANAGEMENT LLC,PAULSON & CO.INC. ,TIGER GLOBAL MANAGEMENT LLC,BERKSHIRE HATHAWAY INC
2015-03-02,,,,
2015-03-03,-0.001265507519080940,-0.004980519330323510,-0.0004955323147710630,-0.006568669777734180
2015-03-04,0.002229912547255800,0.003241280460949400,-0.002533976773233640,0.004213019161491750
2015-03-05,0.0040160016412460500,0.004076052738837930,0.002354656751653030,0.006726329822673630
2015-03-06,-0.007905357447513200,-0.003574033706685630,-0.008481173398287470,-0.013098061052771600
2015-03-09,0.0005822796500871700,0.004225410051669880,0.0058427361834103600,-0.0016524551597966200
2015-03-10,-0.010262967064432200,-0.005340723544381870,-0.012079153900654900,-0.00973902847346475
2015-03-11,0.004011920804301240,0.005163143041366110,0.003311825534341620,-0.0011466764438018400
2015-03-12,0.008264629904709550,0.010271618586934700,0.013116890191381800,0.010801417639620100
2015-03-13,-0.0024972745488313100,-0.0014284161547658500,-0.003697187208716370,-0.008142217554344080
2015-03-16,0.007900621038590130,0.0035825339926776100,0.007953004700508080,0.008054624464487020
2015-03-17,0.0021419035463847700,0.0029281064224944100,-0.0006871817837931230,0.0003843565322338980
2015-03-18,0.009602759418578800,0.007513096940720890,0.009556879660320480,0.007853525209598590
2015-03-19,-0.0007784772838256290,-0.002554227088800150,-0.002925094247420930,0.002362936779625850
2015-03-20,0.009657299920258880,0.0009833771991436540,0.0073907793434191400,0.007104656222237880
2015-03-23,-6.67418575552858E-05,-0.0005134996079992900,-0.00010875250463526800,0.0005910985542618710
2015-03-24,-0.002570522859054010,-0.004808023033385790,-0.0033209258633955000,-0.001012994280296890
2015-03-25,-0.0061561972301420500,-0.00801835649090854,-0.011171537109587400,-0.01456730091558590
2015-03-26,-0.002097879511120500,-0.0005929135940357930,-0.0010345354638604500,-0.0012116232367689300
2015-03-27,-7.50098709243474E-05,0.00208788887197886,0.0021895850459361400,0.004775706904068370
2015-03-30,0.008112673837378020,0.0022196864505061900,0.008616824167264610,0.005227894737318330
2015-03-31,-0.005444593035665910,-0.003021171365903960,-0.003968001009204800,0.0018580599284479000
2015-04-01,0.0009185284392367880,0.00015681460690864000,-0.002001537137128250,-0.003865395879651070
2015-04-02,0.0025612955246112600,0.004299033605891680,0.0030581297294201000,0.0019664295861856500
2015-04-06,0.0053675938373412,0.003763107812597920,0.004631173547838820,0.004920474854035240
2015-04-07,-0.0012426093488774300,-0.00017147901153424800,-0.002059815495209280,0.0018822503277511300
2015-04-08,0.006185462951682210,0.012652294060936400,0.0034520158692839000,0.012351575407502800
2015-04-09,0.004035615722158830,0.0032315039242341000,-0.00045261922698214300,-0.0019046826373734200
2015-04-10,-9.02022823283666E-05,0.0012302134085697700,0.002385873543022000,0.0016613984204190100
2015-04-13,-0.0034476111013995700,-0.0027663436845037900,-0.004071747684724630,-0.0030737823271473900
2015-04-14,0.00339277468154342,0.002021444307747980,0.002141971059023580,0.00751595574483388
2015-04-15,0.004755769631757060,0.001752668241457920,0.003753945346025580,0.004871806276386610
2015-04-16,-0.002110842077479800,-0.003231826089307060,0.0005101247353624940,0.00010247338402780100
2015-04-17,-0.009431567974872320,-0.00220096291200389,-0.010617455640682700,-0.01304566724637140
2015-04-20,-0.0005075730406374210,0.0012387450416291300,0.006252428779520920,0.0007800969363398470
2015-04-21,0.004265720071742200,0.004629488538310690,0.004878592034447180,0.007804664259848380
2015-04-22,0.0009741602415507260,-0.0008272682321979200,0.008590964620748930,0.0037676848430179300
2015-04-23,0.0010665546817723000,0.0029723706799449400,0.0007364438336603390,0.007060747556912880
2015-04-24,0.0032181629162517700,0.0004666063449776380,0.0015501741422445600,0.00025950004851660300
2015-04-27,-0.0026200807059345600,-0.01132129644627860,-0.003811510247090370,-0.002663719178297000
2015-04-28,-0.00045531887179917100,0.0018861299788333100,0.0027311302521799700,-0.004364476925758370
2015-04-29,-0.004232728646382130,0.0014434094823268000,-0.0007602197848491920,-0.005849477608867890
2015-04-30,-0.009174575905370080,-0.0042795829191310000,-0.010341231271256700,-0.007964247860196670
2015-05-01,0.006051125028177170,0.0025511806447564600,0.006526301759446570,0.009650243092194530
2015-05-04,0.003133127293319720,0.000620641423641155,0.002410865263729130,0.0037321508754037900
2015-05-05,-0.01224841312967580,-0.0034809299605225200,-0.006610153638702100,-0.014421070739810800
2015-05-06,0.00044335019537178300,-0.0034002362196059500,-0.005486682838825590,-0.0059002616042193000
2015-05-07,0.008045893196105600,0.004369825719011230,0.00209355450084292,0.00797310603332102
2015-05-08,0.006919050611678080,0.0064084342208012800,0.008641431685082470,0.00577465236001129
2015-05-11,-0.0028074562053174200,-0.00046343733486187100,-0.006247433545515600,-0.000781480202904361
2015-05-12,0.0008538716446382380,-0.0007808242192828270,-0.003578165907397240,-0.007931550345414260
2015-05-13,0.0,0.0,0.0,0.0
2015-05-14,0.0,0.0,0.0,0.0
2015-05-15,0.003392026672394360,0.00034743480511667500,0.0023302215510598900,0.005031992256946390
2015-05-18,0.0010253974552416600,0.004321057436981640,0.0023330809323944800,0.0022995433279806600
2015-05-19,-0.0010986550208032000,-0.0005936723741751800,0.0020777319802192100,-0.0008251846147441230
2015-05-20,-0.0018732252210500500,0.0012737433760576800,0.0004382942705030150,0.001162461800208180
2015-05-21,0.0022246065635478400,0.0031779984819315700,0.0009174729199730170,0.0045967601396483800
2015-05-22,0.0005417585388527440,0.00029206126913083900,0.0007344149843024890,0.005267552312138600
2015-05-26,-0.00871830507154625,0.0009676449529909540,-0.0071670845846161200,-0.0033622585324445400
