Company Name,Date,Close
Jet Blue Airways,12/1/2014 16:00:00,14.56
,12/2/2014 16:00:00,14.9
,12/3/2014 16:00:00,14.82
,12/4/2014 16:00:00,15.09
,12/5/2014 16:00:00,15.19
,12/8/2014 16:00:00,15.51
,12/9/2014 16:00:00,15.05
,12/10/2014 16:00:00,15.15
,12/11/2014 16:00:00,15.29
,12/12/2014 16:00:00,14.81
,12/15/2014 16:00:00,14.94
,12/16/2014 16:00:00,14.44
,12/17/2014 16:00:00,15.13
,12/18/2014 16:00:00,15.37
,12/19/2014 16:00:00,15.37
,12/22/2014 16:00:00,15.4
,12/23/2014 16:00:00,15.29
,12/24/2014 16:00:00,15.5
,12/26/2014 16:00:00,15.68
,12/29/2014 16:00:00,15.7
,12/30/2014 16:00:00,15.89
,12/31/2014 16:00:00,15.86
,1/2/2015 16:00:00,15.79
,1/5/2015 16:00:00,15.22
,1/6/2015 16:00:00,14.97
,1/7/2015 16:00:00,15.1
,1/8/2015 16:00:00,14.88
,1/9/2015 16:00:00,14.38
,1/12/2015 16:00:00,14.55
,1/13/2015 16:00:00,14.81
,1/14/2015 16:00:00,14.67
,1/15/2015 16:00:00,14.75
,1/16/2015 16:00:00,14.85
,1/20/2015 16:00:00,15.22
,1/21/2015 16:00:00,15.28
,1/22/2015 16:00:00,16.48
,1/23/2015 16:00:00,16.55
,1/26/2015 16:00:00,16.4
,1/27/2015 16:00:00,16.25
,1/28/2015 16:00:00,15.77
,1/29/2015 16:00:00,17.16
,1/30/2015 16:00:00,16.79
,2/2/2015 16:00:00,16.64
,2/3/2015 16:00:00,16.18
,2/4/2015 16:00:00,16.73
,2/5/2015 16:00:00,16.88
,2/6/2015 16:00:00,17
,2/9/2015 16:00:00,16.38
,2/10/2015 16:00:00,16.72
,2/11/2015 16:00:00,16.56
,2/12/2015 16:00:00,16.74
,2/13/2015 16:00:00,16.83
,2/17/2015 16:00:00,16.82
,2/18/2015 16:00:00,16.83
,2/19/2015 16:00:00,17.02
,2/20/2015 16:00:00,17.49
,2/23/2015 16:00:00,17.78
,2/24/2015 16:00:00,18.07
,2/25/2015 16:00:00,17.53
,2/26/2015 16:00:00,17.35
,2/27/2015 16:00:00,17.19
,3/2/2015 16:00:00,17.57
,3/3/2015 16:00:00,17.88
,3/4/2015 16:00:00,17.94
,3/5/2015 16:00:00,17.48
,3/6/2015 16:00:00,17.18
,3/9/2015 16:00:00,17.19
,3/10/2015 16:00:00,16.98
,3/11/2015 16:00:00,17.14
,3/12/2015 16:00:00,18.1
,3/13/2015 16:00:00,18.12
,3/16/2015 16:00:00,18.7
,3/17/2015 16:00:00,19.16
,3/18/2015 16:00:00,19.24
,3/19/2015 16:00:00,19.37
,3/20/2015 16:00:00,19.48
,3/23/2015 16:00:00,19.44
,3/24/2015 16:00:00,19.58
,3/25/2015 16:00:00,18.78
,3/26/2015 16:00:00,18.52
,3/27/2015 16:00:00,19.28
,3/30/2015 16:00:00,19.36
,3/31/2015 16:00:00,19.25
,4/1/2015 16:00:00,18.84
,4/2/2015 16:00:00,18.91
,4/6/2015 16:00:00,18.56
,4/7/2015 16:00:00,18.58
,4/8/2015 16:00:00,19.29
,4/9/2015 16:00:00,19.13
,4/10/2015 16:00:00,19.05
,4/13/2015 16:00:00,19.85
,4/14/2015 16:00:00,19.7
,4/15/2015 16:00:00,19.43
,4/16/2015 16:00:00,19.56
,4/17/2015 16:00:00,19.42
,4/20/2015 16:00:00,19.57
,4/21/2015 16:00:00,19.83
,4/22/2015 16:00:00,19.67
,4/23/2015 16:00:00,19.75
,4/24/2015 16:00:00,19.89
,4/27/2015 16:00:00,19.71
,4/28/2015 16:00:00,21.02
,4/29/2015 16:00:00,20.73
,4/30/2015 16:00:00,20.53
,5/1/2015 16:00:00,21.56
,5/4/2015 16:00:00,21.58
,5/5/2015 16:00:00,21.4
,5/6/2015 16:00:00,21.17
,5/7/2015 16:00:00,21.49
,5/8/2015 16:00:00,21.76
,5/11/2015 16:00:00,21.83
,5/12/2015 16:00:00,21.71
,5/13/2015 16:00:00,21.42
,5/14/2015 16:00:00,21.48
,5/15/2015 16:00:00,21.42
,5/18/2015 16:00:00,21.83
,5/19/2015 16:00:00,21.75
,5/20/2015 16:00:00,20.24
,5/21/2015 16:00:00,20.18
,5/22/2015 16:00:00,20.45
,5/26/2015 16:00:00,19.56
,5/27/2015 16:00:00,20.18
,5/28/2015 16:00:00,19.92
,5/29/2015 16:00:00,20.16
,6/1/2015 16:00:00,20.7
,6/2/2015 16:00:00,20.6
,6/3/2015 16:00:00,20.72
,6/4/2015 16:00:00,20.38
,6/5/2015 16:00:00,20.49
,6/8/2015 16:00:00,19.01
,6/9/2015 16:00:00,18.87
,6/10/2015 16:00:00,19.15
,6/11/2015 16:00:00,19.27
,6/12/2015 16:00:00,19.52
,6/15/2015 16:00:00,19.54
,6/16/2015 16:00:00,19.55
,6/17/2015 16:00:00,19.54
,6/18/2015 16:00:00,19.96
,6/19/2015 16:00:00,20.23
,6/22/2015 16:00:00,21.21
,6/23/2015 16:00:00,21.15
,6/24/2015 16:00:00,20.9
,6/25/2015 16:00:00,21.17
,6/26/2015 16:00:00,20.79
,6/29/2015 16:00:00,20.2
,6/30/2015 16:00:00,20.76
,7/1/2015 16:00:00,20.06
,7/2/2015 16:00:00,20.63
,7/6/2015 16:00:00,20.75
,7/7/2015 16:00:00,21.02
,7/8/2015 16:00:00,20.67
,7/9/2015 16:00:00,20.9
,7/10/2015 16:00:00,21.72
,7/13/2015 16:00:00,21.99
,7/14/2015 16:00:00,22.45
,7/15/2015 16:00:00,22.29
,7/16/2015 16:00:00,22.74
,7/17/2015 16:00:00,22.94
,7/20/2015 16:00:00,22.88
,7/21/2015 16:00:00,23.21
,7/22/2015 16:00:00,23.52
,7/23/2015 16:00:00,23.22
,7/24/2015 16:00:00,22.73
,7/27/2015 16:00:00,22.35
,7/28/2015 16:00:00,22.82
,7/29/2015 16:00:00,22.93
,7/30/2015 16:00:00,22.86
,7/31/2015 16:00:00,22.98
,8/3/2015 16:00:00,23.59
,8/4/2015 16:00:00,23.85
,8/5/2015 16:00:00,23.68
,8/6/2015 16:00:00,23.27
,8/7/2015 16:00:00,23.3
,8/10/2015 16:00:00,23.27
,8/11/2015 16:00:00,23.59
,8/12/2015 16:00:00,23.15
,8/13/2015 16:00:00,23.82
,8/14/2015 16:00:00,24
,8/17/2015 16:00:00,24.4
,8/18/2015 16:00:00,24.04
,8/19/2015 16:00:00,23.94
,8/20/2015 16:00:00,22.97
,8/21/2015 16:00:00,21.67
,8/24/2015 16:00:00,21.22
,8/25/2015 16:00:00,21.48
,8/26/2015 16:00:00,22.21
,8/27/2015 16:00:00,22.38
,8/28/2015 16:00:00,22.3
,8/31/2015 16:00:00,22.32
,9/1/2015 16:00:00,22.11
,9/2/2015 16:00:00,23.53
,9/3/2015 16:00:00,23.42
,9/4/2015 16:00:00,23.72
,9/8/2015 16:00:00,24.87
,9/9/2015 16:00:00,24.88
,9/10/2015 16:00:00,25.38
,9/11/2015 16:00:00,25.68
,9/14/2015 16:00:00,26.33
,9/15/2015 16:00:00,26.37
,9/16/2015 16:00:00,26.65
,9/17/2015 16:00:00,27.02
,9/18/2015 16:00:00,26.91
,9/21/2015 16:00:00,26.84
,9/22/2015 16:00:00,26.34
,9/23/2015 16:00:00,26.62
,9/24/2015 16:00:00,26.39
,9/25/2015 16:00:00,26.66
,9/28/2015 16:00:00,25.48
,9/29/2015 16:00:00,25.19
,9/30/2015 16:00:00,25.77
,10/1/2015 16:00:00,26.23
,10/2/2015 16:00:00,26.22
,10/5/2015 16:00:00,26.49
,10/6/2015 16:00:00,25.5
